"series","episode","baker","last_name","signature_bake","technical","show_stopper","result","baker_age","baker_occupation","hometown"
1,1,"Annetha","Mills","Light Jamaican Black Cakewith Strawberries and Cream",2,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream","IN",30,"Midwife","Essex"
1,1,"David","Chambers","Chocolate Orange Cake",3,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs","IN",31,"Entrepreneur","Milton Keynes"
1,1,"Edd","Kimber","Caramel Cinnamon and Banana Cake",1,NA,"IN",24,"Debt collector for Yorkshire Bank","Bradford"
1,1,"Jasminder","Randhawa","Fresh Mango and Passion Fruit Hummingbird Cake",NA,NA,"IN",45,"Assistant Credit Control Manager","Birmingham"
1,1,"Jonathan","Shepherd","Carrot Cake with Lime and Cream Cheese Icing",9,"Three Tiered White and Dark Chocolate with Almond and Cherry","IN",25,"Research Analyst","St Albans"
1,1,"Louise","Brimelow","Carrot and Orange Cake",NA,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border","IN",44,"Police Officer","Manchester"
1,1,"Miranda","Browne","Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,"Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,1,"Ruth","Clemens","Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd",NA,"Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles","IN",31,"Retail manager/Housewife","Poynton, Cheshire"
1,1,"Lea","Harris","Cranberry and Pistachio Cakewith Orange Flower Water Icing",10,"Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit","OUT",51,"Retired","Midlothian, Scotland"
1,1,"Mark","Whithers","Sticky Marmalade Tea Loaf",NA,"Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.","OUT",48,"Bus Driver","South Wales"
1,2,"David","Chambers","Cheddar Cheese and Fresh Rosemary Biscuits",8,"Choux Pastry Swans  Chocolate Profiteroles","IN",31,"Entrepreneur","Milton Keynes"
1,2,"Edd","Kimber","Oatmeal Raisin Cookie",6,"Pink Macarons","IN",24,"Debt collector for Yorkshire Bank","Bradford"
1,2,"Jasminder","Randhawa","Millionaires' Shortbread",2,"Meringues with Chocolate and Space DustCoffee flavoured Eclairs","IN",45,"Assistant Credit Control Manager","Birmingham"
1,2,"Jonathan","Shepherd","Honey and Candied Ginger Cookies",1,"Meringues with Whiskey Cream","IN",25,"Research Analyst","St Albans"
1,2,"Miranda","Browne","Fresh Vanilla Biscuits with Royal Icing",3,"Pistachio Macarons","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,2,"Ruth","Clemens","Peanut Shortbread withSalted Peanut Caramel",5,"Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs","IN",31,"Retail manager/Housewife","Poynton, Cheshire"
1,2,"Annetha","Mills","Rose Petal Shortbread",7,"Pink Swirl Macarons / Eclairs","OUT",30,"Midwife","Essex"
1,2,"Louise","Brimelow","Stained Glass Window Shortbread",4,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons","OUT",44,"Police Officer","Manchester"
1,2,"Lea","Harris",NA,NA,NA,NA,51,"Retired","Midlothian, Scotland"
1,2,"Mark","Whithers",NA,NA,NA,NA,48,"Bus Driver","South Wales"
1,3,"David","Chambers","Chilli Bread",4,"Walnut and Seed Roll
Red Berry and Almond Bun","IN",31,"Entrepreneur","Milton Keynes"
1,3,"Edd","Kimber","Olive Bread",1,"Tomato and Mozzarella","IN",24,"Debt collector for Yorkshire Bank","Bradford"
1,3,"Jasminder","Randhawa","Focaccia",5,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots","IN",45,"Assistant Credit Control Manager","Birmingham"
1,3,"Miranda","Browne","Walnut and Apricot Bread",3,"Lemon Iced Buns
Chocolate and Orange Buns","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,3,"Ruth","Clemens","Maple and Pecan Bread",2,"Chocolate and Orange Panettone
Cranberry Bagels","IN",31,"Retail manager/Housewife","Poynton, Cheshire"
1,3,"Jonathan","Shepherd","Anchovy, Sweet Paprika and Oregano Bread",6,"Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun","OUT",25,"Research Analyst","St Albans"
1,3,"Annetha","Mills",NA,NA,NA,NA,30,"Midwife","Essex"
1,3,"Lea","Harris",NA,NA,NA,NA,51,"Retired","Midlothian, Scotland"
1,3,"Louise","Brimelow",NA,NA,NA,NA,44,"Police Officer","Manchester"
1,3,"Mark","Whithers",NA,NA,NA,NA,48,"Bus Driver","South Wales"
1,4,"Edd","Kimber","Apple and Plum Pudding",3,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer","IN",24,"Debt collector for Yorkshire Bank","Bradford"
1,4,"Jasminder","Randhawa","Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce",2,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble","IN",45,"Assistant Credit Control Manager","Birmingham"
1,4,"Miranda","Browne","Sticky Toffee Pudding",1,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,4,"Ruth","Clemens","Peach and Blueberry Boy Bait",4,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings","IN",31,"Retail manager/Housewife","Poynton, Cheshire"
1,4,"David","Chambers","Pear and Walnut Pudding",5,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear","OUT",31,"Entrepreneur","Milton Keynes"
1,4,"Annetha","Mills",NA,NA,NA,NA,30,"Midwife","Essex"
1,4,"Jonathan","Shepherd",NA,NA,NA,NA,25,"Research Analyst","St Albans"
1,4,"Lea","Harris",NA,NA,NA,NA,51,"Retired","Midlothian, Scotland"
1,4,"Louise","Brimelow",NA,NA,NA,NA,44,"Police Officer","Manchester"
1,4,"Mark","Whithers",NA,NA,NA,NA,48,"Bus Driver","South Wales"
1,5,"Edd","Kimber","Chicken, Ham, Leek and Tarragon Pie",2,"Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés","IN",24,"Debt collector for Yorkshire Bank","Bradford"
1,5,"Miranda","Browne","Summery Salmon, Cod and Prawn Fish Pie",1,"Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,5,"Ruth","Clemens","Minced Beef Pie",3,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés","IN",31,"Retail manager/Housewife","Poynton, Cheshire"
1,5,"Jasminder","Randhawa","Chicken and Mushroom Pie",4,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés","OUT",45,"Assistant Credit Control Manager","Birmingham"
1,5,"Annetha","Mills",NA,NA,NA,NA,30,"Midwife","Essex"
